"Alue,""Sukupuoli"",""Koulutusaste"",""15 vuotta tayttaneet yhteensa 2021"",""15-24-vuotiaat 2021"",""25-44-vuotiaat 2021"",""45-64-vuotiaat 2021"",""Yli 65-vuotiaat 2021"""
"091 204 Pitajanmaen peruspiiri,""Miehet"",""Kaikki koulutusasteet"",7638,962,3230,2154,1292"
"091 204 Pitajanmaen peruspiiri,""Miehet"",""Tutkinnon suorittaneita yhteensa"",5457,426,2460,1646,925"
"091 204 Pitajanmaen peruspiiri,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",2622,387,1119,737,379"
"091 204 Pitajanmaen peruspiiri,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1503,36,674,479,314"
"091 204 Pitajanmaen peruspiiri,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1332,3,667,430,232"
"091 204 Pitajanmaen peruspiiri,""Miehet"",""Perusaste tai tuntematon"",2181,536,770,508,367"
"091 204 Pitajanmaen peruspiiri,""Naiset"",""Kaikki koulutusasteet"",8053,885,2959,2234,1975"
"091 204 Pitajanmaen peruspiiri,""Naiset"",""Tutkinnon suorittaneita yhteensa"",6164,430,2485,1948,1301"
"091 204 Pitajanmaen peruspiiri,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",2362,351,812,657,542"
"091 204 Pitajanmaen peruspiiri,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",2265,73,939,725,528"
"091 204 Pitajanmaen peruspiiri,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1537,6,734,566,231"
"091 204 Pitajanmaen peruspiiri,""Naiset"",""Perusaste tai tuntematon"",1889,455,474,286,674"
"091 320 Konala,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",5554,667,2125,1580,1182"
"091 320 Konala,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",4061,294,1658,1325,784"
"091 320 Konala,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1833,267,707,514,345"
"091 320 Konala,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1342,25,555,470,292"
"091 320 Konala,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",886,2,396,341,147"
"091 320 Konala,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",1493,373,467,255,398"
"091 320 Konala,""Miehet"",""Kaikki koulutusasteet"",2751,358,1113,780,500"
"091 320 Konala,""Miehet"",""Tutkinnon suorittaneita yhteensa"",1927,141,818,619,349"
"091 320 Konala,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",964,131,412,277,144"
"091 320 Konala,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",550,10,226,189,125"
"091 320 Konala,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",413,0,180,153,80"
"091 320 Konala,""Miehet"",""Perusaste tai tuntematon"",824,217,295,161,151"
"091 320 Konala,""Naiset"",""Kaikki koulutusasteet"",2803,309,1012,800,682"
"091 320 Konala,""Naiset"",""Tutkinnon suorittaneita yhteensa"",2134,153,840,706,435"
"091 320 Konala,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",869,136,295,237,201"
"091 320 Konala,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",792,15,329,281,167"
"091 320 Konala,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",473,2,216,188,67"
"091 320 Konala,""Naiset"",""Perusaste tai tuntematon"",669,156,172,94,247"
"091 461 Pajamaki,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",1612,143,734,399,336"
"091 461 Pajamaki,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",1295,74,625,353,243"
"091 461 Pajamaki,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",473,64,188,121,100"
"091 461 Pajamaki,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",426,10,218,104,94"
"091 461 Pajamaki,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",396,0,219,128,49"
"091 461 Pajamaki,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",317,69,109,46,93"
"091 461 Pajamaki,""Miehet"",""Kaikki koulutusasteet"",742,62,362,194,124"
"091 461 Pajamaki,""Miehet"",""Tutkinnon suorittaneita yhteensa"",577,28,295,162,92"
"091 461 Pajamaki,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",250,27,113,70,40"
"091 461 Pajamaki,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",160,1,89,41,29"
"091 461 Pajamaki,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",167,0,93,51,23"
"091 461 Pajamaki,""Miehet"",""Perusaste tai tuntematon"",165,34,67,32,32"
"091 461 Pajamaki,""Naiset"",""Kaikki koulutusasteet"",870,81,372,205,212"
"091 461 Pajamaki,""Naiset"",""Tutkinnon suorittaneita yhteensa"",718,46,330,191,151"
"091 461 Pajamaki,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",223,37,75,51,60"
"091 461 Pajamaki,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",266,9,129,63,65"
"091 461 Pajamaki,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",229,0,126,77,26"
"091 461 Pajamaki,""Naiset"",""Perusaste tai tuntematon"",152,35,42,14,61"
"091 462 Tali,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",791,105,297,262,127"
"091 462 Tali,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",559,54,221,201,83"
"091 462 Tali,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",289,49,99,101,40"
"091 462 Tali,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",162,5,70,58,29"
"091 462 Tali,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",108,0,52,42,14"
"091 462 Tali,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",232,51,76,61,44"
"091 462 Tali,""Miehet"",""Kaikki koulutusasteet"",369,53,146,125,45"
"091 462 Tali,""Miehet"",""Tutkinnon suorittaneita yhteensa"",262,27,111,90,34"
"091 462 Tali,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",149,25,57,51,16"
"091 462 Tali,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",65,2,31,22,10"
"091 462 Tali,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",48,0,23,17,8"
"091 462 Tali,""Miehet"",""Perusaste tai tuntematon"",107,26,35,35,11"
"091 462 Tali,""Naiset"",""Kaikki koulutusasteet"",422,52,151,137,82"
"091 462 Tali,""Naiset"",""Tutkinnon suorittaneita yhteensa"",297,27,110,111,49"
"091 462 Tali,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",140,24,42,50,24"
"091 462 Tali,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",97,3,39,36,19"
"091 462 Tali,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",60,0,29,25,6"
"091 462 Tali,""Naiset"",""Perusaste tai tuntematon"",125,25,41,26,33"
"091 463 Reimarla,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",4125,557,1595,1050,923"
"091 463 Reimarla,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",2970,270,1255,841,604"
"091 463 Reimarla,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1327,216,503,352,256"
"091 463 Reimarla,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",937,51,392,274,220"
"091 463 Reimarla,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",706,3,360,215,128"
"091 463 Reimarla,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",1155,287,340,209,319"
"091 463 Reimarla,""Miehet"",""Kaikki koulutusasteet"",1952,280,822,512,338"
"091 463 Reimarla,""Miehet"",""Tutkinnon suorittaneita yhteensa"",1369,139,612,380,238"
"091 463 Reimarla,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",661,119,271,172,99"
"091 463 Reimarla,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",375,18,167,113,77"
"091 463 Reimarla,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",333,2,174,95,62"
"091 463 Reimarla,""Miehet"",""Perusaste tai tuntematon"",583,141,210,132,100"
"091 463 Reimarla,""Naiset"",""Kaikki koulutusasteet"",2173,277,773,538,585"
"091 463 Reimarla,""Naiset"",""Tutkinnon suorittaneita yhteensa"",1601,131,643,461,366"
"091 463 Reimarla,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",666,97,232,180,157"
"091 463 Reimarla,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",562,33,225,161,143"
"091 463 Reimarla,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",373,1,186,120,66"
"091 463 Reimarla,""Naiset"",""Perusaste tai tuntematon"",572,146,130,77,219"
"091 464 Marttila,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",266,31,69,83,83"
"091 464 Marttila,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",219,7,62,73,77"
"091 464 Marttila,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",70,7,28,15,20"
"091 464 Marttila,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",53,0,11,20,22"
"091 464 Marttila,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",96,0,23,38,35"
"091 464 Marttila,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",47,24,7,10,6"
"091 464 Marttila,""Miehet"",""Kaikki koulutusasteet"",133,19,35,40,39"
"091 464 Marttila,""Miehet"",""Tutkinnon suorittaneita yhteensa"",106,4,32,33,37"
"091 464 Marttila,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",41,4,18,10,9"
"091 464 Marttila,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",21,0,2,7,12"
"091 464 Marttila,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",44,0,12,16,16"
"091 464 Marttila,""Miehet"",""Perusaste tai tuntematon"",27,15,3,7,2"
"091 464 Marttila,""Naiset"",""Kaikki koulutusasteet"",133,12,34,43,44"
"091 464 Marttila,""Naiset"",""Tutkinnon suorittaneita yhteensa"",113,3,30,40,40"
"091 464 Marttila,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",29,3,10,5,11"
"091 464 Marttila,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",32,0,9,13,10"
"091 464 Marttila,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",52,0,11,22,19"
"091 464 Marttila,""Naiset"",""Perusaste tai tuntematon"",20,9,4,3,4"
"091 465 Pitajanmaen yritysalue,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",3343,344,1369,1014,616"
"091 465 Pitajanmaen yritysalue,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",2517,157,1124,801,435"
"091 465 Pitajanmaen yritysalue,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",992,135,406,291,160"
"091 465 Pitajanmaen yritysalue,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",848,18,367,278,185"
"091 465 Pitajanmaen yritysalue,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",677,4,351,232,90"
"091 465 Pitajanmaen yritysalue,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",826,187,245,213,181"
"091 465 Pitajanmaen yritysalue,""Miehet"",""Kaikki koulutusasteet"",1691,190,752,503,246"
"091 465 Pitajanmaen yritysalue,""Miehet"",""Tutkinnon suorittaneita yhteensa"",1216,87,592,362,175"
"091 465 Pitajanmaen yritysalue,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",557,81,248,157,71"
"091 465 Pitajanmaen yritysalue,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",332,5,159,107,61"
"091 465 Pitajanmaen yritysalue,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",327,1,185,98,43"
"091 465 Pitajanmaen yritysalue,""Miehet"",""Perusaste tai tuntematon"",475,103,160,141,71"
"091 465 Pitajanmaen yritysalue,""Naiset"",""Kaikki koulutusasteet"",1652,154,617,511,370"
"091 465 Pitajanmaen yritysalue,""Naiset"",""Tutkinnon suorittaneita yhteensa"",1301,70,532,439,260"
"091 465 Pitajanmaen yritysalue,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",435,54,158,134,89"
"091 465 Pitajanmaen yritysalue,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",516,13,208,171,124"
"091 465 Pitajanmaen yritysalue,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",350,3,166,134,47"
"091 465 Pitajanmaen yritysalue,""Naiset"",""Perusaste tai tuntematon"",351,84,85,72,110"
"091 205 Kaarelan peruspiiri,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",25642,3309,10133,7002,5198"
"091 205 Kaarelan peruspiiri,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",18745,1543,7979,5724,3499"
"091 205 Kaarelan peruspiiri,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",8852,1377,3475,2431,1569"
"091 205 Kaarelan peruspiiri,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",5850,157,2564,1869,1260"
"091 205 Kaarelan peruspiiri,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",4043,9,1940,1424,670"
"091 205 Kaarelan peruspiiri,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",6897,1766,2154,1278,1699"
"091 205 Kaarelan peruspiiri,""Miehet"",""Kaikki koulutusasteet"",12215,1683,5149,3304,2079"
"091 205 Kaarelan peruspiiri,""Miehet"",""Tutkinnon suorittaneita yhteensa"",8664,741,3864,2574,1485"
"091 205 Kaarelan peruspiiri,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",4388,678,1883,1223,604"
"091 205 Kaarelan peruspiiri,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",2375,58,1107,710,500"
"091 205 Kaarelan peruspiiri,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1901,5,874,641,381"
"091 205 Kaarelan peruspiiri,""Miehet"",""Perusaste tai tuntematon"",3551,942,1285,730,594"
"091 205 Kaarelan peruspiiri,""Naiset"",""Kaikki koulutusasteet"",13427,1626,4984,3698,3119"
"091 205 Kaarelan peruspiiri,""Naiset"",""Tutkinnon suorittaneita yhteensa"",10081,802,4115,3150,2014"
"091 205 Kaarelan peruspiiri,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",4464,699,1592,1208,965"
"091 205 Kaarelan peruspiiri,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",3475,99,1457,1159,760"
"091 205 Kaarelan peruspiiri,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",2142,4,1066,783,289"
"091 205 Kaarelan peruspiiri,""Naiset"",""Perusaste tai tuntematon"",3346,824,869,548,1105"
"091 331 Kannelmaki,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",10951,1300,4283,2787,2581"
"091 331 Kannelmaki,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",7477,606,3156,2119,1596"
"091 331 Kannelmaki,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",3767,533,1458,1005,771"
"091 331 Kannelmaki,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",2235,70,944,646,575"
"091 331 Kannelmaki,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1475,3,754,468,250"
"091 331 Kannelmaki,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",3474,694,1127,668,985"
"091 331 Kannelmaki,""Miehet"",""Kaikki koulutusasteet"",5223,679,2257,1331,956"
"091 331 Kannelmaki,""Miehet"",""Tutkinnon suorittaneita yhteensa"",3412,286,1569,931,626"
"091 331 Kannelmaki,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1850,255,808,505,282"
"091 331 Kannelmaki,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",896,28,421,234,213"
"091 331 Kannelmaki,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",666,3,340,192,131"
"091 331 Kannelmaki,""Miehet"",""Perusaste tai tuntematon"",1811,393,688,400,330"
"091 331 Kannelmaki,""Naiset"",""Kaikki koulutusasteet"",5728,621,2026,1456,1625"
"091 331 Kannelmaki,""Naiset"",""Tutkinnon suorittaneita yhteensa"",4065,320,1587,1188,970"
"091 331 Kannelmaki,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1917,278,650,500,489"
"091 331 Kannelmaki,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1339,42,523,412,362"
"091 331 Kannelmaki,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",809,0,414,276,119"
"091 331 Kannelmaki,""Naiset"",""Perusaste tai tuntematon"",1663,301,439,268,655"
"091 332 Maununneva,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",2064,250,564,756,494"
"091 332 Maununneva,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",1692,88,513,696,395"
"091 332 Maununneva,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",508,85,130,175,118"
"091 332 Maununneva,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",578,3,163,244,168"
"091 332 Maununneva,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",606,0,220,277,109"
"091 332 Maununneva,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",372,162,51,60,99"
"091 332 Maununneva,""Miehet"",""Kaikki koulutusasteet"",1024,136,277,370,241"
"091 332 Maununneva,""Miehet"",""Tutkinnon suorittaneita yhteensa"",817,46,246,330,195"
"091 332 Maununneva,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",271,46,76,102,47"
"091 332 Maununneva,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",250,0,67,104,79"
"091 332 Maununneva,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",296,0,103,124,69"
"091 332 Maununneva,""Miehet"",""Perusaste tai tuntematon"",207,90,31,40,46"
"091 332 Maununneva,""Naiset"",""Kaikki koulutusasteet"",1040,114,287,386,253"
"091 332 Maununneva,""Naiset"",""Tutkinnon suorittaneita yhteensa"",875,42,267,366,200"
"091 332 Maununneva,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",237,39,54,73,71"
"091 332 Maununneva,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",328,3,96,140,89"
"091 332 Maununneva,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",310,0,117,153,40"
"091 332 Maununneva,""Naiset"",""Perusaste tai tuntematon"",165,72,20,20,53"
"091 333 Malminkartano,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",7371,1099,3010,1992,1270"
"091 333 Malminkartano,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",5244,517,2305,1571,851"
"091 333 Malminkartano,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",2753,455,1106,763,429"
"091 333 Malminkartano,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1575,58,750,492,275"
"091 333 Malminkartano,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",916,4,449,316,147"
"091 333 Malminkartano,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",2127,582,705,421,419"
"091 333 Malminkartano,""Miehet"",""Kaikki koulutusasteet"",3580,568,1556,969,487"
"091 333 Malminkartano,""Miehet"",""Tutkinnon suorittaneita yhteensa"",2482,257,1138,746,341"
"091 333 Malminkartano,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1367,232,584,388,163"
"091 333 Malminkartano,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",651,23,329,199,100"
"091 333 Malminkartano,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",464,2,225,159,78"
"091 333 Malminkartano,""Miehet"",""Perusaste tai tuntematon"",1098,311,418,223,146"
"091 333 Malminkartano,""Naiset"",""Kaikki koulutusasteet"",3791,531,1454,1023,783"
"091 333 Malminkartano,""Naiset"",""Tutkinnon suorittaneita yhteensa"",2762,260,1167,825,510"
"091 333 Malminkartano,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1386,223,522,375,266"
"091 333 Malminkartano,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",924,35,421,293,175"
"091 333 Malminkartano,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",452,2,224,157,69"
"091 333 Malminkartano,""Naiset"",""Perusaste tai tuntematon"",1029,271,287,198,273"
"091 334 Hakuninmaa,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",2210,273,663,739,535"
"091 334 Hakuninmaa,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",1763,118,560,675,410"
"091 334 Hakuninmaa,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",688,106,212,219,151"
"091 334 Hakuninmaa,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",589,12,193,239,145"
"091 334 Hakuninmaa,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",486,0,155,217,114"
"091 334 Hakuninmaa,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",447,155,103,64,125"
"091 334 Hakuninmaa,""Miehet"",""Kaikki koulutusasteet"",1070,132,330,346,262"
"091 334 Hakuninmaa,""Miehet"",""Tutkinnon suorittaneita yhteensa"",858,60,272,310,216"
"091 334 Hakuninmaa,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",355,57,121,105,72"
"091 334 Hakuninmaa,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",255,3,85,99,68"
"091 334 Hakuninmaa,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",248,0,66,106,76"
"091 334 Hakuninmaa,""Miehet"",""Perusaste tai tuntematon"",212,72,58,36,46"
"091 334 Hakuninmaa,""Naiset"",""Kaikki koulutusasteet"",1140,141,333,393,273"
"091 334 Hakuninmaa,""Naiset"",""Tutkinnon suorittaneita yhteensa"",905,58,288,365,194"
"091 334 Hakuninmaa,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",333,49,91,114,79"
"091 334 Hakuninmaa,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",334,9,108,140,77"
"091 334 Hakuninmaa,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",238,0,89,111,38"
"091 334 Hakuninmaa,""Naiset"",""Perusaste tai tuntematon"",235,83,45,28,79"
"091 335 Kuninkaantammi,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",2542,338,1286,630,288"
"091 335 Kuninkaantammi,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",2126,195,1133,570,228"
"091 335 Kuninkaantammi,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",990,180,488,228,94"
"091 335 Kuninkaantammi,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",701,13,386,216,86"
"091 335 Kuninkaantammi,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",435,2,259,126,48"
"091 335 Kuninkaantammi,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",416,143,153,60,60"
"091 335 Kuninkaantammi,""Miehet"",""Kaikki koulutusasteet"",1096,144,578,252,122"
"091 335 Kuninkaantammi,""Miehet"",""Tutkinnon suorittaneita yhteensa"",899,82,494,222,101"
"091 335 Kuninkaantammi,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",471,78,249,105,39"
"091 335 Kuninkaantammi,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",253,4,147,66,36"
"091 335 Kuninkaantammi,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",175,0,98,51,26"
"091 335 Kuninkaantammi,""Miehet"",""Perusaste tai tuntematon"",197,62,84,30,21"
"091 335 Kuninkaantammi,""Naiset"",""Kaikki koulutusasteet"",1446,194,708,378,166"
"091 335 Kuninkaantammi,""Naiset"",""Tutkinnon suorittaneita yhteensa"",1227,113,639,348,127"
"091 335 Kuninkaantammi,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",519,102,239,123,55"
"091 335 Kuninkaantammi,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",448,9,239,150,50"
"091 335 Kuninkaantammi,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",260,2,161,75,22"
"091 335 Kuninkaantammi,""Naiset"",""Perusaste tai tuntematon"",219,81,69,30,39"
"091 336 Honkasuo,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",504,49,327,98,30"
"091 336 Honkasuo,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",443,19,312,93,19"
"091 336 Honkasuo,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",146,18,81,41,6"
"091 336 Honkasuo,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",172,1,128,32,11"
"091 336 Honkasuo,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",125,0,103,20,2"
"091 336 Honkasuo,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",61,30,15,5,11"
"091 336 Honkasuo,""Miehet"",""Kaikki koulutusasteet"",222,24,151,36,11"
"091 336 Honkasuo,""Miehet"",""Tutkinnon suorittaneita yhteensa"",196,10,145,35,6"
"091 336 Honkasuo,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",74,10,45,18,1"
"091 336 Honkasuo,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",70,0,58,8,4"
"091 336 Honkasuo,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",52,0,42,9,1"
"091 336 Honkasuo,""Miehet"",""Perusaste tai tuntematon"",26,14,6,1,5"
"091 336 Honkasuo,""Naiset"",""Kaikki koulutusasteet"",282,25,176,62,19"
"091 336 Honkasuo,""Naiset"",""Tutkinnon suorittaneita yhteensa"",247,9,167,58,13"
"091 336 Honkasuo,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",72,8,36,23,5"
